Price,Close,High,Low,Open,Volume
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN
Date,,,,,
2015-01-02,15.425999641418457,15.737500190734863,15.347999572753906,15.628999710083008,55664000
2015-01-05,15.10949993133545,15.418999671936035,15.042499542236328,15.350500106811523,55484000
2015-01-06,14.76449966430664,15.149999618530273,14.619000434875488,15.112000465393066,70380000
2015-01-07,14.920999526977539,15.064000129699707,14.766500473022461,14.875,52806000
2015-01-08,15.02299976348877,15.156999588012695,14.805500030517578,15.015999794006348,61768000
2015-01-09,14.846500396728516,15.143500328063965,14.833999633789062,15.074000358581543,51848000
2015-01-12,14.570500373840332,14.92549991607666,14.46399974822998,14.878000259399414,68428000
2015-01-13,14.737000465393066,15.074999809265137,14.661499977111816,14.87399959564209,82728000
2015-01-14,14.66349983215332,14.795499801635742,14.324999809265137,14.596500396728516,110774000
2015-01-15,14.34749984741211,14.800000190734863,14.340999603271484,14.699999809265137,88384000
2015-01-16,14.536999702453613,14.53950023651123,14.262499809265137,14.314000129699707,69564000
2015-01-20,14.472000122070312,14.668000221252441,14.319499969482422,14.629500389099121,61502000
2015-01-21,14.862500190734863,15.300000190734863,14.36299991607666,14.482000350952148,201302000
2015-01-22,15.515999794006348,15.612500190734863,15.0,15.0,107252000
2015-01-23,15.619500160217285,15.846500396728516,15.38599967956543,15.404000282287598,89928000
2015-01-26,15.482999801635742,15.649999618530273,15.37600040435791,15.590999603271484,63394000
2015-01-27,15.337499618530273,15.51200008392334,15.131500244140625,15.3149995803833,58406000
2015-01-28,15.195500373840332,15.575499534606934,15.1899995803833,15.490500450134277,61276000
2015-01-29,15.58899974822998,15.640000343322754,14.966500282287598,15.236499786376953,173132000
2015-01-30,17.726499557495117,17.975000381469727,17.03700065612793,17.31599998474121,477122000
2015-02-02,18.223499298095703,18.25,17.500499725341797,17.502500534057617,204638000
2015-02-03,18.177499771118164,18.391000747680664,18.010499954223633,18.01449966430664,124252000
2015-02-04,18.237499237060547,18.375,17.911500930786133,17.91900062561035,83398000
2015-02-05,18.694499969482422,18.940000534057617,18.295000076293945,18.299999237060547,144952000
2015-02-06,18.714000701904297,18.79949951171875,18.550500869750977,18.743499755859375,77848000
2015-02-09,18.527999877929688,18.720500946044922,18.360000610351562,18.549999237060547,54492000
2015-02-10,18.649999618530273,18.71500015258789,18.425500869750977,18.559499740600586,45744000
